CCTV1,rtp://239.254.200.45:8008
CCTV2,rtp://239.254.200.158:6000
CCTV3,rtp://239.254.200.13:6000
CCTV4,rtp://239.254.200.190:6307
CCTV5,rtp://239.254.200.14:6000
CCTV6,rtp://239.254.200.15:6000
CCTV7,rtp://239.254.200.159:6000
CCTV8,rtp://239.254.200.16:6000
CCTV9,rtp://239.254.200.59:8112
CCTV10,rtp://239.254.200.160:6000
